Timestamp,Date,Time,Raw_Data,Wind_Speed,Temperature
24/08/2025 17:31:04,24/08/2025,17:31:04,"[0, 161, 0, 0, 30, 253, 0, 231, 255]",0.030,48.7
24/08/2025 17:31:05,24/08/2025,17:31:05,"[0, 161, 0, 0, 45, 253, 0, 231, 255]",0.045,48.7
24/08/2025 17:31:06,24/08/2025,17:31:06,"[0, 161, 0, 0, 0, 253, 0, 231, 255]",0.000,48.7
24/08/2025 17:31:07,24/08/2025,17:31:07,"[0, 161, 0, 0, 0, 253, 0, 231, 255]",0.000,48.7
24/08/2025 17:31:08,24/08/2025,17:31:08,"[0, 161, 0, 0, 57, 253, 0, 231, 255]",0.057,48.7
24/08/2025 17:31:09,24/08/2025,17:31:09,"[0, 161, 0, 0, 0, 253, 0, 231, 255]",0.000,48.7
24/08/2025 17:31:10,24/08/2025,17:31:10,"[0, 161, 0, 0, 41, 253, 0, 231, 255]",0.041,48.7
24/08/2025 17:31:11,24/08/2025,17:31:11,"[0, 161, 0, 0, 41, 253, 0, 233, 255]",0.041,48.9
24/08/2025 17:31:12,24/08/2025,17:31:12,"[0, 161, 0, 0, 181, 253, 0, 232, 255]",0.181,48.8
24/08/2025 17:31:13,24/08/2025,17:31:13,"[0, 161, 0, 1, 62, 253, 0, 231, 255]",0.318,48.7
24/08/2025 17:31:14,24/08/2025,17:31:14,"[0, 161, 0, 0, 55, 253, 0, 231, 255]",0.055,48.7
24/08/2025 17:31:15,24/08/2025,17:31:15,"[0, 161, 0, 0, 55, 253, 0, 230, 255]",0.055,48.6
24/08/2025 17:31:16,24/08/2025,17:31:16,"[0, 161, 0, 0, 122, 253, 0, 233, 255]",0.122,48.9
24/08/2025 17:31:17,24/08/2025,17:31:17,"[0, 161, 0, 0, 148, 253, 0, 232, 255]",0.148,48.8
24/08/2025 17:31:18,24/08/2025,17:31:18,"[0, 161, 0, 1, 30, 253, 0, 231, 255]",0.286,48.7
24/08/2025 17:31:19,24/08/2025,17:31:19,"[0, 161, 0, 1, 30, 253, 0, 231, 255]",0.286,48.7
24/08/2025 17:31:20,24/08/2025,17:31:20,"[0, 161, 0, 0, 171, 253, 0, 231, 255]",0.171,48.7
24/08/2025 17:31:21,24/08/2025,17:31:21,"[0, 161, 0, 1, 185, 253, 0, 231, 255]",0.441,48.7
24/08/2025 17:31:22,24/08/2025,17:31:22,"[0, 161, 0, 0, 66, 253, 0, 230, 255]",0.066,48.6
24/08/2025 17:31:23,24/08/2025,17:31:23,"[0, 161, 0, 0, 196, 253, 0, 231, 255]",0.196,48.7
24/08/2025 17:31:24,24/08/2025,17:31:24,"[0, 161, 0, 0, 196, 253, 0, 229, 255]",0.196,48.5
24/08/2025 17:31:25,24/08/2025,17:31:25,"[0, 161, 0, 0, 202, 253, 0, 232, 255]",0.202,48.8
24/08/2025 17:31:26,24/08/2025,17:31:26,"[0, 161, 0, 0, 242, 253, 0, 231, 255]",0.242,48.7
24/08/2025 17:31:27,24/08/2025,17:31:27,"[0, 161, 0, 1, 33, 253, 0, 232, 255]",0.289,48.8
24/08/2025 17:31:28,24/08/2025,17:31:28,"[0, 161, 0, 1, 33, 253, 0, 232, 255]",0.289,48.8
24/08/2025 17:31:29,24/08/2025,17:31:29,"[0, 161, 0, 0, 27, 253, 0, 230, 255]",0.027,48.6
24/08/2025 17:31:30,24/08/2025,17:31:30,"[0, 161, 0, 0, 0, 253, 0, 231, 255]",0.000,48.7
24/08/2025 17:31:31,24/08/2025,17:31:31,"[0, 161, 0, 0, 204, 253, 0, 230, 255]",0.204,48.6
24/08/2025 17:31:32,24/08/2025,17:31:32,"[0, 161, 0, 0, 204, 253, 0, 233, 255]",0.204,48.9
24/08/2025 17:31:33,24/08/2025,17:31:33,"[0, 161, 0, 0, 95, 253, 0, 231, 255]",0.095,48.7
24/08/2025 17:31:34,24/08/2025,17:31:34,"[0, 161, 0, 0, 0, 253, 0, 231, 255]",0.000,48.7
24/08/2025 17:31:35,24/08/2025,17:31:35,"[0, 161, 0, 0, 0, 253, 0, 229, 255]",0.000,48.5
24/08/2025 17:31:36,24/08/2025,17:31:36,"[0, 161, 0, 0, 0, 253, 0, 231, 255]",0.000,48.7
24/08/2025 17:31:37,24/08/2025,17:31:37,"[0, 161, 0, 0, 0, 253, 0, 231, 255]",0.000,48.7
24/08/2025 17:31:38,24/08/2025,17:31:38,"[0, 161, 0, 0, 89, 253, 0, 230, 255]",0.089,48.6
24/08/2025 17:31:39,24/08/2025,17:31:39,"[0, 161, 0, 0, 62, 253, 0, 229, 255]",0.062,48.5
24/08/2025 17:31:40,24/08/2025,17:31:40,"[0, 161, 0, 0, 62, 253, 0, 231, 255]",0.062,48.7
24/08/2025 17:31:41,24/08/2025,17:31:41,"[0, 161, 0, 0, 76, 253, 0, 233, 255]",0.076,48.9
24/08/2025 17:31:42,24/08/2025,17:31:42,"[0, 161, 0, 0, 212, 253, 0, 230, 255]",0.212,48.6
24/08/2025 17:31:43,24/08/2025,17:31:43,"[0, 161, 0, 0, 173, 253, 0, 231, 255]",0.173,48.7
24/08/2025 17:31:44,24/08/2025,17:31:44,"[0, 161, 0, 1, 86, 253, 0, 232, 255]",0.342,48.8
24/08/2025 17:31:45,24/08/2025,17:31:45,"[0, 161, 0, 1, 86, 253, 0, 229, 255]",0.342,48.5
24/08/2025 17:31:46,24/08/2025,17:31:46,"[0, 161, 0, 0, 132, 253, 0, 230, 255]",0.132,48.6
24/08/2025 17:31:47,24/08/2025,17:31:47,"[0, 161, 0, 0, 98, 253, 0, 228, 255]",0.098,48.4
24/08/2025 17:31:48,24/08/2025,17:31:48,"[0, 161, 0, 0, 99, 253, 0, 231, 255]",0.099,48.7
24/08/2025 17:31:49,24/08/2025,17:31:49,"[0, 161, 0, 0, 99, 253, 0, 231, 255]",0.099,48.7
24/08/2025 17:31:50,24/08/2025,17:31:50,"[0, 161, 0, 0, 0, 253, 0, 230, 255]",0.000,48.6
24/08/2025 17:31:51,24/08/2025,17:31:51,"[0, 161, 0, 0, 148, 253, 0, 233, 255]",0.148,48.9
24/08/2025 17:31:52,24/08/2025,17:31:52,"[0, 161, 0, 0, 206, 253, 0, 231, 255]",0.206,48.7
24/08/2025 17:31:53,24/08/2025,17:31:53,"[0, 161, 0, 0, 206, 253, 0, 230, 255]",0.206,48.6
24/08/2025 17:31:54,24/08/2025,17:31:54,"[0, 161, 0, 2, 105, 253, 0, 230, 255]",0.617,48.6
24/08/2025 17:31:55,24/08/2025,17:31:55,"[0, 161, 0, 0, 180, 253, 0, 229, 255]",0.180,48.5
24/08/2025 17:31:56,24/08/2025,17:31:56,"[0, 161, 0, 0, 155, 253, 0, 230, 255]",0.155,48.6
24/08/2025 17:31:57,24/08/2025,17:31:57,"[0, 161, 0, 0, 155, 253, 0, 231, 255]",0.155,48.7
24/08/2025 17:31:58,24/08/2025,17:31:58,"[0, 161, 0, 0, 37, 253, 0, 230, 255]",0.037,48.6
24/08/2025 17:31:59,24/08/2025,17:31:59,"[0, 161, 0, 1, 23, 253, 0, 228, 255]",0.279,48.4
24/08/2025 17:32:00,24/08/2025,17:32:00,"[0, 161, 0, 0, 182, 253, 0, 230, 255]",0.182,48.6
24/08/2025 17:32:01,24/08/2025,17:32:01,"[0, 161, 0, 0, 182, 253, 0, 230, 255]",0.182,48.6
24/08/2025 17:32:02,24/08/2025,17:32:02,"[0, 161, 0, 0, 31, 253, 0, 231, 255]",0.031,48.7
24/08/2025 17:32:03,24/08/2025,17:32:03,"[0, 161, 0, 0, 110, 253, 0, 231, 255]",0.110,48.7
24/08/2025 17:32:04,24/08/2025,17:32:04,"[0, 161, 0, 1, 200, 253, 0, 229, 255]",0.456,48.5
24/08/2025 17:32:05,24/08/2025,17:32:05,"[0, 161, 0, 1, 154, 253, 0, 228, 255]",0.410,48.4
24/08/2025 17:32:06,24/08/2025,17:32:06,"[0, 161, 0, 1, 154, 253, 0, 230, 255]",0.410,48.6
24/08/2025 17:32:07,24/08/2025,17:32:07,"[0, 161, 0, 0, 123, 253, 0, 228, 255]",0.123,48.4
24/08/2025 17:32:08,24/08/2025,17:32:08,"[0, 161, 0, 0, 0, 253, 0, 229, 255]",0.000,48.5
24/08/2025 17:32:09,24/08/2025,17:32:09,"[0, 161, 0, 0, 190, 253, 0, 229, 255]",0.190,48.5
24/08/2025 17:32:10,24/08/2025,17:32:10,"[0, 161, 0, 0, 190, 253, 0, 229, 255]",0.190,48.5
24/08/2025 17:32:11,24/08/2025,17:32:11,"[0, 161, 0, 1, 21, 253, 0, 229, 255]",0.277,48.5
24/08/2025 17:32:12,24/08/2025,17:32:12,"[0, 161, 0, 0, 0, 253, 0, 228, 255]",0.000,48.4
24/08/2025 17:32:13,24/08/2025,17:32:13,"[0, 161, 0, 0, 0, 253, 0, 229, 255]",0.000,48.5
24/08/2025 17:32:14,24/08/2025,17:32:14,"[0, 161, 0, 0, 0, 253, 0, 230, 255]",0.000,48.6
24/08/2025 17:32:15,24/08/2025,17:32:15,"[0, 161, 0, 0, 0, 253, 0, 230, 255]",0.000,48.6
24/08/2025 17:32:16,24/08/2025,17:32:16,"[0, 161, 0, 0, 0, 253, 0, 230, 255]",0.000,48.6
24/08/2025 17:32:17,24/08/2025,17:32:17,"[0, 161, 0, 0, 0, 253, 0, 230, 255]",0.000,48.6
24/08/2025 17:32:18,24/08/2025,17:32:18,"[0, 161, 0, 0, 0, 253, 0, 228, 255]",0.000,48.4
24/08/2025 17:32:19,24/08/2025,17:32:19,"[0, 161, 0, 0, 220, 253, 0, 229, 255]",0.220,48.5
24/08/2025 17:32:20,24/08/2025,17:32:20,"[0, 161, 0, 0, 45, 253, 0, 228, 255]",0.045,48.4
24/08/2025 17:32:21,24/08/2025,17:32:21,"[0, 161, 0, 0, 0, 253, 0, 228, 255]",0.000,48.4
24/08/2025 17:32:22,24/08/2025,17:32:22,"[0, 161, 0, 0, 0, 253, 0, 229, 255]",0.000,48.5
24/08/2025 17:32:23,24/08/2025,17:32:23,"[0, 161, 0, 0, 153, 253, 0, 229, 255]",0.153,48.5
24/08/2025 17:32:24,24/08/2025,17:32:24,"[0, 161, 0, 1, 84, 253, 0, 230, 255]",0.340,48.6
24/08/2025 17:32:25,24/08/2025,17:32:25,"[0, 161, 0, 0, 27, 253, 0, 228, 255]",0.027,48.4
24/08/2025 17:32:26,24/08/2025,17:32:26,"[0, 161, 0, 0, 27, 253, 0, 229, 255]",0.027,48.5
24/08/2025 17:32:27,24/08/2025,17:32:27,"[0, 161, 0, 1, 101, 253, 0, 227, 255]",0.357,48.3
24/08/2025 17:32:28,24/08/2025,17:32:28,"[0, 161, 0, 1, 100, 253, 0, 228, 255]",0.356,48.4
24/08/2025 17:32:29,24/08/2025,17:32:29,"[0, 161, 0, 0, 223, 253, 0, 228, 255]",0.223,48.4
24/08/2025 17:32:30,24/08/2025,17:32:30,"[0, 161, 0, 0, 201, 253, 0, 228, 255]",0.201,48.4
24/08/2025 17:32:31,24/08/2025,17:32:31,"[0, 161, 0, 0, 201, 253, 0, 228, 255]",0.201,48.4
24/08/2025 17:32:32,24/08/2025,17:32:32,"[0, 161, 0, 1, 164, 253, 0, 229, 255]",0.420,48.5
24/08/2025 17:32:33,24/08/2025,17:32:33,"[0, 161, 0, 0, 97, 253, 0, 228, 255]",0.097,48.4
24/08/2025 17:32:34,24/08/2025,17:32:34,"[0, 161, 0, 0, 221, 253, 0, 229, 255]",0.221,48.5
24/08/2025 17:32:35,24/08/2025,17:32:35,"[0, 161, 0, 0, 221, 253, 0, 230, 255]",0.221,48.6
24/08/2025 17:32:36,24/08/2025,17:32:36,"[0, 161, 0, 1, 56, 253, 0, 228, 255]",0.312,48.4
24/08/2025 17:32:37,24/08/2025,17:32:37,"[0, 161, 0, 0, 0, 253, 0, 228, 255]",0.000,48.4
24/08/2025 17:32:38,24/08/2025,17:32:38,"[0, 161, 0, 0, 73, 253, 0, 228, 255]",0.073,48.4
24/08/2025 17:32:39,24/08/2025,17:32:39,"[0, 161, 0, 0, 73, 253, 0, 228, 255]",0.073,48.4
24/08/2025 17:32:40,24/08/2025,17:32:40,"[0, 161, 0, 0, 181, 253, 0, 229, 255]",0.181,48.5
24/08/2025 17:32:41,24/08/2025,17:32:41,"[0, 161, 0, 0, 35, 253, 0, 229, 255]",0.035,48.5
24/08/2025 17:32:42,24/08/2025,17:32:42,"[0, 161, 0, 0, 6, 253, 0, 230, 255]",0.006,48.6
24/08/2025 17:32:43,24/08/2025,17:32:43,"[0, 161, 0, 0, 6, 253, 0, 228, 255]",0.006,48.4
24/08/2025 17:32:44,24/08/2025,17:32:44,"[0, 161, 0, 0, 9, 253, 0, 228, 255]",0.009,48.4
24/08/2025 17:32:45,24/08/2025,17:32:45,"[0, 161, 0, 0, 45, 253, 0, 229, 255]",0.045,48.5
24/08/2025 17:32:46,24/08/2025,17:32:46,"[0, 161, 0, 0, 0, 253, 0, 228, 255]",0.000,48.4
24/08/2025 17:32:47,24/08/2025,17:32:47,"[0, 161, 0, 0, 0, 253, 0, 228, 255]",0.000,48.4
24/08/2025 17:32:48,24/08/2025,17:32:48,"[0, 161, 0, 0, 206, 253, 0, 229, 255]",0.206,48.5
24/08/2025 17:32:49,24/08/2025,17:32:49,"[0, 161, 0, 0, 0, 253, 0, 231, 255]",0.000,48.7
24/08/2025 17:32:50,24/08/2025,17:32:50,"[0, 161, 0, 0, 90, 253, 0, 228, 255]",0.090,48.4
