Timestamp,Date,Time,Raw_Data,Wind_Speed,Temperature
14/09/2025 12:17:20,14/09/2025,12:17:20,"[0, 161, 0, 0, 0, 253, 1, 52, 255]",0.000,30.8
14/09/2025 12:17:21,14/09/2025,12:17:21,"[0, 161, 0, 0, 0, 253, 1, 49, 255]",0.000,30.5
14/09/2025 12:17:22,14/09/2025,12:17:22,"[0, 161, 0, 0, 0, 253, 1, 50, 255]",0.000,30.6
14/09/2025 12:17:23,14/09/2025,12:17:23,"[0, 161, 0, 0, 0, 253, 1, 52, 255]",0.000,30.8
14/09/2025 12:17:24,14/09/2025,12:17:24,"[0, 161, 0, 0, 0, 253, 1, 50, 255]",0.000,30.6
14/09/2025 12:17:25,14/09/2025,12:17:25,"[0, 161, 0, 0, 0, 253, 1, 51, 255]",0.000,30.7
14/09/2025 12:17:26,14/09/2025,12:17:26,"[0, 161, 0, 0, 0, 253, 1, 51, 255]",0.000,30.7
14/09/2025 12:17:27,14/09/2025,12:17:27,"[0, 161, 0, 0, 0, 253, 1, 51, 255]",0.000,30.7
14/09/2025 12:17:28,14/09/2025,12:17:28,"[0, 161, 0, 0, 0, 253, 1, 52, 255]",0.000,30.8
14/09/2025 12:17:29,14/09/2025,12:17:29,"[0, 161, 0, 0, 0, 253, 1, 51, 255]",0.000,30.7
14/09/2025 12:17:30,14/09/2025,12:17:30,"[0, 161, 0, 0, 0, 253, 1, 49, 255]",0.000,30.5
14/09/2025 12:17:31,14/09/2025,12:17:31,"[0, 161, 0, 0, 0, 253, 1, 51, 255]",0.000,30.7
14/09/2025 12:17:32,14/09/2025,12:17:32,"[0, 161, 0, 0, 0, 253, 1, 50, 255]",0.000,30.6
14/09/2025 12:17:33,14/09/2025,12:17:33,"[0, 161, 0, 0, 0, 253, 1, 49, 255]",0.000,30.5
14/09/2025 12:17:34,14/09/2025,12:17:34,"[0, 161, 0, 0, 0, 253, 1, 51, 255]",0.000,30.7
14/09/2025 12:17:35,14/09/2025,12:17:35,"[0, 161, 0, 0, 0, 253, 1, 50, 255]",0.000,30.6
14/09/2025 12:17:36,14/09/2025,12:17:36,"[0, 161, 0, 0, 0, 253, 1, 50, 255]",0.000,30.6
14/09/2025 12:17:37,14/09/2025,12:17:37,"[0, 161, 0, 0, 0, 253, 1, 50, 255]",0.000,30.6
14/09/2025 12:17:38,14/09/2025,12:17:38,"[0, 161, 0, 0, 0, 253, 1, 51, 255]",0.000,30.7
14/09/2025 12:17:39,14/09/2025,12:17:39,"[0, 161, 0, 0, 0, 253, 1, 50, 255]",0.000,30.6
14/09/2025 12:17:40,14/09/2025,12:17:40,"[0, 161, 0, 0, 0, 253, 1, 52, 255]",0.000,30.8
14/09/2025 12:17:41,14/09/2025,12:17:41,"[0, 161, 0, 0, 0, 253, 1, 52, 255]",0.000,30.8
14/09/2025 12:17:42,14/09/2025,12:17:42,"[0, 161, 0, 0, 0, 253, 1, 51, 255]",0.000,30.7
14/09/2025 12:17:43,14/09/2025,12:17:43,"[0, 161, 0, 0, 0, 253, 1, 52, 255]",0.000,30.8
14/09/2025 12:17:44,14/09/2025,12:17:44,"[0, 161, 0, 0, 0, 253, 1, 51, 255]",0.000,30.7
14/09/2025 12:17:45,14/09/2025,12:17:45,"[0, 161, 0, 0, 0, 253, 1, 51, 255]",0.000,30.7
14/09/2025 12:17:46,14/09/2025,12:17:46,"[0, 161, 0, 1, 22, 253, 1, 54, 255]",0.278,31.0
14/09/2025 12:17:47,14/09/2025,12:17:47,"[0, 161, 0, 1, 22, 253, 1, 52, 255]",0.278,30.8
14/09/2025 12:17:48,14/09/2025,12:17:48,"[0, 161, 0, 0, 0, 253, 1, 52, 255]",0.000,30.8
14/09/2025 12:17:49,14/09/2025,12:17:49,"[0, 161, 0, 0, 160, 253, 1, 51, 255]",0.160,30.7
14/09/2025 12:17:50,14/09/2025,12:17:50,"[0, 161, 0, 0, 37, 253, 1, 49, 255]",0.037,30.5
14/09/2025 12:17:51,14/09/2025,12:17:51,"[0, 161, 0, 0, 37, 253, 1, 52, 255]",0.037,30.8
14/09/2025 12:17:52,14/09/2025,12:17:52,"[0, 161, 0, 1, 115, 253, 1, 49, 255]",0.371,30.5
14/09/2025 12:17:53,14/09/2025,12:17:53,"[0, 161, 0, 0, 218, 253, 1, 52, 255]",0.218,30.8
14/09/2025 12:17:54,14/09/2025,12:17:54,"[0, 161, 0, 0, 197, 253, 1, 50, 255]",0.197,30.6
14/09/2025 12:17:55,14/09/2025,12:17:55,"[0, 161, 0, 0, 197, 253, 1, 51, 255]",0.197,30.7
14/09/2025 12:17:56,14/09/2025,12:17:56,"[0, 161, 0, 0, 105, 253, 1, 51, 255]",0.105,30.7
14/09/2025 12:17:57,14/09/2025,12:17:57,"[0, 161, 0, 0, 97, 253, 1, 52, 255]",0.097,30.8
14/09/2025 12:17:58,14/09/2025,12:17:58,"[0, 161, 0, 0, 172, 253, 1, 51, 255]",0.172,30.7
14/09/2025 12:17:59,14/09/2025,12:17:59,"[0, 161, 0, 0, 172, 253, 1, 51, 255]",0.172,30.7
14/09/2025 12:18:00,14/09/2025,12:18:00,"[0, 161, 0, 1, 65, 253, 1, 53, 255]",0.321,30.9
14/09/2025 12:18:01,14/09/2025,12:18:01,"[0, 161, 0, 0, 0, 253, 1, 53, 255]",0.000,30.9
14/09/2025 12:18:02,14/09/2025,12:18:02,"[0, 161, 0, 0, 24, 253, 1, 52, 255]",0.024,30.8
14/09/2025 12:18:03,14/09/2025,12:18:03,"[0, 161, 0, 0, 168, 253, 1, 51, 255]",0.168,30.7
14/09/2025 12:18:04,14/09/2025,12:18:04,"[0, 161, 0, 0, 168, 253, 1, 48, 255]",0.168,30.4
14/09/2025 12:18:05,14/09/2025,12:18:05,"[0, 161, 0, 0, 180, 253, 1, 50, 255]",0.180,30.6
14/09/2025 12:18:06,14/09/2025,12:18:06,"[0, 161, 0, 2, 85, 253, 1, 49, 255]",0.597,30.5
14/09/2025 12:18:07,14/09/2025,12:18:07,"[0, 161, 0, 1, 160, 253, 1, 51, 255]",0.416,30.7
14/09/2025 12:18:08,14/09/2025,12:18:08,"[0, 161, 0, 1, 160, 253, 1, 50, 255]",0.416,30.6
14/09/2025 12:18:09,14/09/2025,12:18:09,"[0, 161, 0, 0, 60, 253, 1, 50, 255]",0.060,30.6
14/09/2025 12:18:10,14/09/2025,12:18:10,"[0, 161, 0, 0, 20, 253, 1, 51, 255]",0.020,30.7
14/09/2025 12:18:11,14/09/2025,12:18:11,"[0, 161, 0, 2, 247, 253, 1, 51, 255]",0.759,30.7
14/09/2025 12:18:12,14/09/2025,12:18:12,"[0, 161, 0, 2, 247, 253, 1, 50, 255]",0.759,30.6
14/09/2025 12:18:13,14/09/2025,12:18:13,"[0, 161, 0, 1, 80, 253, 1, 51, 255]",0.336,30.7
14/09/2025 12:18:14,14/09/2025,12:18:14,"[0, 161, 0, 0, 70, 253, 1, 49, 255]",0.070,30.5
14/09/2025 12:18:15,14/09/2025,12:18:15,"[0, 161, 0, 0, 0, 253, 1, 51, 255]",0.000,30.7
14/09/2025 12:18:16,14/09/2025,12:18:16,"[0, 161, 0, 0, 0, 253, 1, 49, 255]",0.000,30.5
14/09/2025 12:18:17,14/09/2025,12:18:17,"[0, 161, 0, 0, 0, 253, 1, 50, 255]",0.000,30.6
14/09/2025 12:18:18,14/09/2025,12:18:18,"[0, 161, 0, 0, 13, 253, 1, 50, 255]",0.013,30.6
14/09/2025 12:18:19,14/09/2025,12:18:19,"[0, 161, 0, 1, 76, 253, 1, 49, 255]",0.332,30.5
14/09/2025 12:18:20,14/09/2025,12:18:20,"[0, 161, 0, 1, 76, 253, 1, 51, 255]",0.332,30.7
14/09/2025 12:18:21,14/09/2025,12:18:21,"[0, 161, 0, 1, 28, 253, 1, 50, 255]",0.284,30.6
14/09/2025 12:18:22,14/09/2025,12:18:22,"[0, 161, 0, 1, 77, 253, 1, 50, 255]",0.333,30.6
14/09/2025 12:18:23,14/09/2025,12:18:23,"[0, 161, 0, 1, 84, 253, 1, 48, 255]",0.340,30.4
14/09/2025 12:18:24,14/09/2025,12:18:24,"[0, 161, 0, 1, 150, 253, 1, 49, 255]",0.406,30.5
14/09/2025 12:18:25,14/09/2025,12:18:25,"[0, 161, 0, 1, 150, 253, 1, 46, 255]",0.406,30.2
14/09/2025 12:18:26,14/09/2025,12:18:26,"[0, 161, 0, 3, 23, 253, 1, 46, 255]",0.791,30.2
14/09/2025 12:18:27,14/09/2025,12:18:27,"[0, 161, 0, 2, 52, 253, 1, 45, 255]",0.564,30.1
14/09/2025 12:18:28,14/09/2025,12:18:28,"[0, 161, 0, 1, 207, 253, 1, 46, 255]",0.463,30.2
14/09/2025 12:18:29,14/09/2025,12:18:29,"[0, 161, 0, 1, 207, 253, 1, 46, 255]",0.463,30.2
14/09/2025 12:18:30,14/09/2025,12:18:30,"[0, 161, 0, 0, 199, 253, 1, 46, 255]",0.199,30.2
14/09/2025 12:18:31,14/09/2025,12:18:31,"[0, 161, 0, 0, 55, 253, 1, 50, 255]",0.055,30.6
14/09/2025 12:18:32,14/09/2025,12:18:32,"[0, 161, 0, 1, 82, 253, 1, 50, 255]",0.338,30.6
14/09/2025 12:18:33,14/09/2025,12:18:33,"[0, 161, 0, 1, 82, 253, 1, 49, 255]",0.338,30.5
14/09/2025 12:18:34,14/09/2025,12:18:34,"[0, 161, 0, 2, 223, 253, 1, 48, 255]",0.735,30.4
14/09/2025 12:18:35,14/09/2025,12:18:35,"[0, 161, 0, 0, 201, 253, 1, 48, 255]",0.201,30.4
14/09/2025 12:18:36,14/09/2025,12:18:36,"[0, 161, 0, 1, 148, 253, 1, 47, 255]",0.404,30.3
14/09/2025 12:18:37,14/09/2025,12:18:37,"[0, 161, 0, 1, 148, 253, 1, 51, 255]",0.404,30.7
14/09/2025 12:18:38,14/09/2025,12:18:38,"[0, 161, 0, 0, 200, 253, 1, 50, 255]",0.200,30.6
14/09/2025 12:18:39,14/09/2025,12:18:39,"[0, 161, 0, 1, 242, 253, 1, 48, 255]",0.498,30.4
14/09/2025 12:18:40,14/09/2025,12:18:40,"[0, 161, 0, 1, 66, 253, 1, 48, 255]",0.322,30.4
14/09/2025 12:18:41,14/09/2025,12:18:41,"[0, 161, 0, 1, 66, 253, 1, 49, 255]",0.322,30.5
14/09/2025 12:18:42,14/09/2025,12:18:42,"[0, 161, 0, 1, 101, 253, 1, 49, 255]",0.357,30.5
14/09/2025 12:18:43,14/09/2025,12:18:43,"[0, 161, 0, 1, 153, 253, 1, 48, 255]",0.409,30.4
14/09/2025 12:18:44,14/09/2025,12:18:44,"[0, 161, 0, 1, 130, 253, 1, 49, 255]",0.386,30.5
14/09/2025 12:18:45,14/09/2025,12:18:45,"[0, 161, 0, 0, 196, 253, 1, 48, 255]",0.196,30.4
14/09/2025 12:18:46,14/09/2025,12:18:46,"[0, 161, 0, 0, 196, 253, 1, 46, 255]",0.196,30.2
14/09/2025 12:18:47,14/09/2025,12:18:47,"[0, 161, 0, 2, 164, 253, 1, 46, 255]",0.676,30.2
14/09/2025 12:18:48,14/09/2025,12:18:48,"[0, 161, 0, 1, 188, 253, 1, 48, 255]",0.444,30.4
14/09/2025 12:18:49,14/09/2025,12:18:49,"[0, 161, 0, 0, 32, 253, 1, 49, 255]",0.032,30.5
14/09/2025 12:18:50,14/09/2025,12:18:50,"[0, 161, 0, 0, 32, 253, 1, 49, 255]",0.032,30.5
14/09/2025 12:18:51,14/09/2025,12:18:51,"[0, 161, 0, 0, 119, 253, 1, 46, 255]",0.119,30.2
14/09/2025 12:18:52,14/09/2025,12:18:52,"[0, 161, 0, 2, 173, 253, 1, 46, 255]",0.685,30.2
14/09/2025 12:18:53,14/09/2025,12:18:53,"[0, 161, 0, 1, 74, 253, 1, 47, 255]",0.330,30.3
14/09/2025 12:18:54,14/09/2025,12:18:54,"[0, 161, 0, 1, 74, 253, 1, 47, 255]",0.330,30.3
14/09/2025 12:18:55,14/09/2025,12:18:55,"[0, 161, 0, 0, 162, 253, 1, 45, 255]",0.162,30.1
14/09/2025 12:18:56,14/09/2025,12:18:56,"[0, 161, 0, 0, 64, 253, 1, 49, 255]",0.064,30.5
14/09/2025 12:18:57,14/09/2025,12:18:57,"[0, 161, 0, 0, 143, 253, 1, 46, 255]",0.143,30.2
14/09/2025 12:18:58,14/09/2025,12:18:58,"[0, 161, 0, 0, 143, 253, 1, 47, 255]",0.143,30.3
14/09/2025 12:18:59,14/09/2025,12:18:59,"[0, 161, 0, 0, 0, 253, 1, 47, 255]",0.000,30.3
14/09/2025 12:19:00,14/09/2025,12:19:00,"[0, 161, 0, 1, 69, 253, 1, 47, 255]",0.325,30.3
14/09/2025 12:19:01,14/09/2025,12:19:01,"[0, 161, 0, 1, 58, 253, 1, 46, 255]",0.314,30.2
14/09/2025 12:19:02,14/09/2025,12:19:02,"[0, 161, 0, 1, 58, 253, 1, 46, 255]",0.314,30.2
14/09/2025 12:19:03,14/09/2025,12:19:03,"[0, 161, 0, 0, 244, 253, 1, 46, 255]",0.244,30.2
14/09/2025 12:19:04,14/09/2025,12:19:04,"[0, 161, 0, 0, 191, 253, 1, 46, 255]",0.191,30.2
14/09/2025 12:19:05,14/09/2025,12:19:05,"[0, 161, 0, 0, 53, 253, 1, 42, 255]",0.053,29.8
14/09/2025 12:19:06,14/09/2025,12:19:06,"[0, 161, 0, 0, 53, 253, 1, 44, 255]",0.053,30.0
14/09/2025 12:19:07,14/09/2025,12:19:07,"[0, 161, 0, 1, 65, 253, 1, 45, 255]",0.321,30.1
14/09/2025 12:19:08,14/09/2025,12:19:08,"[0, 161, 0, 0, 239, 253, 1, 44, 255]",0.239,30.0
14/09/2025 12:19:09,14/09/2025,12:19:09,"[0, 161, 0, 0, 101, 253, 1, 44, 255]",0.101,30.0
14/09/2025 12:19:10,14/09/2025,12:19:10,"[0, 161, 0, 2, 11, 253, 1, 46, 255]",0.523,30.2
14/09/2025 12:19:11,14/09/2025,12:19:11,"[0, 161, 0, 2, 11, 253, 1, 46, 255]",0.523,30.2
14/09/2025 12:19:12,14/09/2025,12:19:12,"[0, 161, 0, 0, 0, 253, 1, 45, 255]",0.000,30.1
14/09/2025 12:19:13,14/09/2025,12:19:13,"[0, 161, 0, 0, 0, 253, 1, 46, 255]",0.000,30.2
14/09/2025 12:19:14,14/09/2025,12:19:14,"[0, 161, 0, 1, 50, 253, 1, 46, 255]",0.306,30.2
14/09/2025 12:19:15,14/09/2025,12:19:15,"[0, 161, 0, 1, 50, 253, 1, 46, 255]",0.306,30.2
14/09/2025 12:19:16,14/09/2025,12:19:16,"[0, 161, 0, 0, 255, 253, 1, 46, 255]",0.255,30.2
14/09/2025 12:19:17,14/09/2025,12:19:17,"[0, 161, 0, 0, 182, 253, 1, 44, 255]",0.182,30.0
14/09/2025 12:19:18,14/09/2025,12:19:18,"[0, 161, 0, 0, 60, 253, 1, 45, 255]",0.060,30.1
14/09/2025 12:19:19,14/09/2025,12:19:19,"[0, 161, 0, 0, 60, 253, 1, 46, 255]",0.060,30.2
14/09/2025 12:19:20,14/09/2025,12:19:20,"[0, 161, 0, 0, 105, 253, 1, 43, 255]",0.105,29.9
14/09/2025 12:19:21,14/09/2025,12:19:21,"[0, 161, 0, 0, 24, 253, 1, 47, 255]",0.024,30.3
14/09/2025 12:19:22,14/09/2025,12:19:22,"[0, 161, 0, 0, 0, 253, 1, 47, 255]",0.000,30.3
14/09/2025 12:19:23,14/09/2025,12:19:23,"[0, 161, 0, 0, 0, 253, 1, 47, 255]",0.000,30.3
14/09/2025 12:19:24,14/09/2025,12:19:24,"[0, 161, 0, 0, 0, 253, 1, 47, 255]",0.000,30.3
14/09/2025 12:19:25,14/09/2025,12:19:25,"[0, 161, 0, 0, 0, 253, 1, 46, 255]",0.000,30.2
14/09/2025 12:19:26,14/09/2025,12:19:26,"[0, 161, 0, 0, 0, 253, 1, 45, 255]",0.000,30.1
14/09/2025 12:19:27,14/09/2025,12:19:27,"[0, 161, 0, 0, 0, 253, 1, 45, 255]",0.000,30.1
14/09/2025 12:19:28,14/09/2025,12:19:28,"[0, 161, 0, 2, 136, 253, 1, 42, 255]",0.648,29.8
14/09/2025 12:19:29,14/09/2025,12:19:29,"[0, 161, 0, 1, 118, 253, 1, 43, 255]",0.374,29.9
14/09/2025 12:19:30,14/09/2025,12:19:30,"[0, 161, 0, 0, 177, 253, 1, 45, 255]",0.177,30.1
14/09/2025 12:19:31,14/09/2025,12:19:31,"[0, 161, 0, 1, 70, 253, 1, 43, 255]",0.326,29.9
14/09/2025 12:19:32,14/09/2025,12:19:32,"[0, 161, 0, 1, 70, 253, 1, 43, 255]",0.326,29.9
14/09/2025 12:19:33,14/09/2025,12:19:33,"[0, 161, 0, 3, 45, 253, 1, 42, 255]",0.813,29.8
14/09/2025 12:19:34,14/09/2025,12:19:34,"[0, 161, 0, 2, 13, 253, 1, 40, 255]",0.525,29.6
14/09/2025 12:19:35,14/09/2025,12:19:35,"[0, 161, 0, 0, 119, 253, 1, 41, 255]",0.119,29.7
14/09/2025 12:19:36,14/09/2025,12:19:36,"[0, 161, 0, 0, 119, 253, 1, 42, 255]",0.119,29.8
14/09/2025 12:19:37,14/09/2025,12:19:37,"[0, 161, 0, 1, 2, 253, 1, 44, 255]",0.258,30.0
14/09/2025 12:19:38,14/09/2025,12:19:38,"[0, 161, 0, 2, 0, 253, 1, 41, 255]",0.512,29.7
14/09/2025 12:19:39,14/09/2025,12:19:39,"[0, 161, 0, 0, 187, 253, 1, 42, 255]",0.187,29.8
14/09/2025 12:19:40,14/09/2025,12:19:40,"[0, 161, 0, 0, 187, 253, 1, 42, 255]",0.187,29.8
