Timestamp,Date,Time,Raw_Data,Wind_Speed,Temperature
12/09/2025 00:00:00,12/09/2025,00:00:00,"[0, 161, 0, 0, 0, 253, 1, 60, 255]",0.000,31.6
12/09/2025 00:00:01,12/09/2025,00:00:01,"[0, 161, 0, 0, 0, 253, 1, 62, 255]",0.000,31.8
12/09/2025 00:00:02,12/09/2025,00:00:02,"[0, 161, 0, 0, 0, 253, 1, 61, 255]",0.000,31.7
12/09/2025 00:00:03,12/09/2025,00:00:03,"[0, 161, 0, 0, 0, 253, 1, 61, 255]",0.000,31.7
12/09/2025 00:00:04,12/09/2025,00:00:04,"[0, 161, 0, 0, 0, 253, 1, 60, 255]",0.000,31.6
12/09/2025 00:00:05,12/09/2025,00:00:05,"[0, 161, 0, 0, 0, 253, 1, 61, 255]",0.000,31.7
12/09/2025 00:00:06,12/09/2025,00:00:06,"[0, 161, 0, 0, 0, 253, 1, 60, 255]",0.000,31.6
12/09/2025 00:00:07,12/09/2025,00:00:07,"[0, 161, 0, 0, 0, 253, 1, 60, 255]",0.000,31.6
12/09/2025 00:00:08,12/09/2025,00:00:08,"[0, 161, 0, 0, 0, 253, 1, 61, 255]",0.000,31.7
12/09/2025 00:00:09,12/09/2025,00:00:09,"[0, 161, 0, 0, 0, 253, 1, 62, 255]",0.000,31.8
12/09/2025 00:00:10,12/09/2025,00:00:10,"[0, 161, 0, 0, 0, 253, 1, 60, 255]",0.000,31.6
12/09/2025 00:00:11,12/09/2025,00:00:11,"[0, 161, 0, 0, 0, 253, 1, 60, 255]",0.000,31.6
