Date,Time,PC0.1_calibrated,PC0.1,PC0.3,PC0.5,PC1.0,PC2.5,PC5.0,PC10,PM0.1,PM0.3,PM0.5,PM1.0,PM2.5,PM5.0,PM10
2025/09/09,00:00:00,588.620000,58862,23544,21031,1331,41,1,0,0.05386500,0.63560412,3.04120644,4.25944770,4.40990779,4.45466888,4.45466888
2025/09/09,00:00:01,588.460000,58846,23538,21034,1330,41,1,0,0.05385030,0.63543060,3.04145705,4.25931031,4.40874772,4.45350881,4.45350881
2025/09/09,00:00:02,588.290000,58829,23531,21040,1329,41,1,0,0.05383559,0.63525709,3.04197430,4.25869649,4.40698475,4.45174584,4.45174584
2025/09/09,00:00:03,588.580000,58858,23543,21056,1327,40,1,0,0.05386144,0.63556217,3.04408903,4.25913108,4.40601722,4.45077831,4.45077831
2025/09/09,00:00:04,589.440000,58944,23577,21082,1326,40,1,0,0.05393997,0.63648881,3.04794421,4.26221025,4.40794723,4.45270832,4.45270832
2025/09/09,00:00:05,589.960000,58996,23598,21097,1324,39,1,0,0.05398780,0.63705318,3.05021723,4.26260914,4.40438912,4.44915021,4.44915021
2025/09/09,00:00:06,590.670000,59067,23627,21111,1322,38,1,0,0.05405334,0.63782635,3.05256167,4.26294950,4.40051952,4.44419793,4.44419793
2025/09/09,00:00:07,590.860000,59086,23634,21111,1318,36,1,0,0.05407037,0.63802750,3.05278307,4.25968069,4.39099539,4.43359112,4.43359112
2025/09/09,00:00:08,590.960000,59096,23638,21109,1314,34,1,0,0.05407926,0.63813236,3.05275056,4.25609391,4.38077385,4.42117328,4.42117328
2025/09/09,00:00:09,590.830000,59083,23633,21107,1310,32,1,0,0.05406730,0.63799127,3.05231859,4.25184869,4.37103942,4.41035617,4.41035617
2025/09/09,00:00:10,590.770000,59077,23631,21105,1306,31,1,0,0.05406213,0.63793026,3.05203545,4.24794540,4.36126748,4.39950155,4.39950155
2025/09/09,00:00:11,590.290000,59029,23611,21095,1285,29,1,0,0.05401844,0.63741451,3.05037256,4.22698934,4.33342009,4.36945787,4.36945787
2025/09/09,00:00:12,589.150000,58915,23566,21074,1255,27,1,0,0.05391422,0.63618470,3.04670296,4.19523699,4.29401030,4.32785178,4.32785178
