Date,Time,PC0.1_calibrated,PC0.1,PC0.3,PC0.5,PC1.0,PC2.5,PC5.0,PC10,PM0.1,PM0.3,PM0.5,PM1.0,PM2.5,PM5.0,PM10
2025/09/25,00:00:00,549.250000,54925,21970,20909,1199,43,1,0,0.05026227,0.59309196,2.98478661,4.08226051,4.23820620,4.29063885,4.29063885
2025/09/25,00:00:01,549.610000,54961,21984,20909,1189,42,1,0,0.05029556,0.59348474,2.98511876,4.07399616,4.22764354,4.27679722,4.27679722
2025/09/25,00:00:02,550.350000,55035,22014,20912,1195,42,1,0,0.05036342,0.59428553,2.98633167,4.08008933,4.23246107,4.27941845,4.27941845
2025/09/25,00:00:03,552.060000,55206,22082,20924,1217,42,1,0,0.05051951,0.59612738,2.98955893,4.10380488,4.25617662,4.30313400,4.30313400
2025/09/25,00:00:04,554.040000,55404,22161,20936,1239,42,1,0,0.05070087,0.59826762,2.99300393,4.12696308,4.27933482,4.32629220,4.32629220
2025/09/25,00:00:05,555.810000,55581,22232,20945,1257,42,1,0,0.05086326,0.60018381,2.99601476,4.14700493,4.29899362,4.34595100,4.34595100
2025/09/25,00:00:06,557.460000,55746,22298,20954,1274,41,1,0,0.05101418,0.60196465,2.99884998,4.16502907,4.31676480,4.36372218,4.36372218
2025/09/25,00:00:07,559.190000,55919,22367,20968,1291,41,1,0,0.05117254,0.60383320,3.00223731,4.18366938,4.33502206,4.38197944,4.38197944
2025/09/25,00:00:08,560.950000,56095,22438,20984,1306,41,1,0,0.05133363,0.60573416,3.00596004,4.20161193,4.35270803,4.39966541,4.39966541
2025/09/25,00:00:09,563.320000,56332,22532,21012,1311,41,1,0,0.05154993,0.60828625,3.01175579,4.21215799,4.36376363,4.41072101,4.41072101
2025/09/25,00:00:10,566.450000,56645,22658,21055,1316,42,1,0,0.05183658,0.61166871,3.02009857,4.22483105,4.37707631,4.42403369,4.42403369
2025/09/25,00:00:11,569.570000,56957,22783,21100,1319,42,1,0,0.05212226,0.61503969,3.02852287,4.23561449,4.38785975,4.43481713,4.43481713
2025/09/25,00:00:12,572.910000,57291,22916,21149,1322,42,1,0,0.05242788,0.61864616,3.03775216,4.24755890,4.40031369,4.44727107,4.44727107
2025/09/25,00:00:13,576.350000,57635,23054,21196,1325,42,1,0,0.05274225,0.62235559,3.04689054,4.25963751,4.41277535,4.45973273,4.45973273
2025/09/25,00:00:14,579.650000,57965,23186,21239,1328,42,1,0,0.05304496,0.62592775,3.05533014,4.27079223,4.42443961,4.47139699,4.47139699
2025/09/25,00:00:15,582.390000,58239,23295,21267,1329,42,1,0,0.05329552,0.62888405,3.06150585,4.27835707,4.43149491,4.47736961,4.47736961
2025/09/25,00:00:16,584.680000,58468,23387,21289,1329,42,1,0,0.05350493,0.63135511,3.06647732,4.28336148,4.43535017,4.47902858,4.47902858
2025/09/25,00:00:17,586.020000,58602,23441,21299,1327,41,1,0,0.05362779,0.63280512,3.06908259,4.28425367,4.43458367,4.47606578,4.47606578
2025/09/25,00:00:18,586.050000,58605,23442,21285,1322,40,1,0,0.05363054,0.63283752,3.06751135,4.27815815,4.42529725,4.46353132,4.46353132
2025/09/25,00:00:19,585.320000,58532,23413,21258,1316,38,1,0,0.05356342,0.63204532,3.06364111,4.26843856,4.40626154,4.44121664,4.44121664
2025/09/25,00:00:20,583.890000,58389,23355,21219,1309,35,1,0,0.05343286,0.63050472,3.05766120,4.25576923,4.38261739,4.41537619,4.41537619
2025/09/25,00:00:21,582.720000,58272,23308,21189,1290,32,0,0,0.05332525,0.62923488,3.05290532,4.23414338,4.35116589,4.38064572,4.38064572
2025/09/25,00:00:22,582.250000,58225,23290,21174,1268,30,0,0,0.05328275,0.62873344,3.05077610,4.21146090,4.32184865,4.35132848,4.35132848
2025/09/25,00:00:23,582.280000,58228,23291,21169,1252,29,0,0,0.05328501,0.62876011,3.05024127,4.19641616,4.30208080,4.33156063,4.33156063
2025/09/25,00:00:24,581.630000,58163,23265,21152,1230,27,0,0,0.05322571,0.62806036,3.04750562,4.17345028,4.27413885,4.30142239,4.30142239
2025/09/25,00:00:25,580.680000,58068,23227,21128,1205,26,0,0,0.05313868,0.62703362,3.04377247,4.14664275,4.24094953,4.26823307,4.26823307
2025/09/25,00:00:26,580.230000,58023,23209,21116,1187,24,0,0,0.05309741,0.62654648,3.04187156,4.12813176,4.21797200,4.24525554,4.24525554
2025/09/25,00:00:27,580.330000,58033,23213,21115,1175,24,0,0,0.05310701,0.62665990,3.04186385,4.11768544,4.20459135,4.23187489,4.23187489
2025/09/25,00:00:28,580.270000,58027,23210,21111,1163,26,1,0,0.05310103,0.62658936,3.04136106,4.10596895,4.20244395,4.23956441,4.23956441
2025/09/25,00:00:29,579.350000,57935,23174,21091,1142,30,1,0,0.05301695,0.62559695,3.03812675,4.08360254,4.19322419,4.24237787,4.24237787
2025/09/25,00:00:30,577.500000,57750,23100,21055,1111,32,1,0,0.05284783,0.62360161,3.03197085,4.04920191,4.16813968,4.22385130,4.22385130
2025/09/25,00:00:31,575.360000,57536,23014,21015,1078,34,1,0,0.05265167,0.62128691,3.02515222,4.01203839,4.13850350,4.19746317,4.19746317
2025/09/25,00:00:32,573.500000,57350,22940,20983,1049,37,2,0,0.05248162,0.61928014,3.01939289,3.97955341,4.11367595,4.17591459,4.17591459
2025/09/25,00:00:33,571.330000,57133,22853,20945,1017,38,2,0,0.05228326,0.61693969,3.01275852,3.94428631,4.08479065,4.15030826,4.15030826
2025/09/25,00:00:34,568.800000,56880,22752,20902,982,40,2,0,0.05205187,0.61420931,3.00513645,3.90395929,4.04867360,4.11530483,4.11530483
2025/09/25,00:00:35,565.930000,56593,22637,20855,943,40,2,0,0.05178946,0.61111288,2.99661107,3.85969172,4.00670434,4.07550093,4.07550093
2025/09/25,00:00:36,563.570000,56357,22542,20815,908,38,2,0,0.05157294,0.60855795,2.98951183,3.82072852,3.96021018,4.02572779,4.02572779
2025/09/25,00:00:37,561.570000,56157,22463,20048,877,34,1,0,0.05139029,0.60640246,2.89959257,3.70240256,3.82733907,3.88849503,3.88849503
2025/09/25,00:00:38,560.320000,56032,22413,19567,853,31,1,0,0.05127579,0.60505156,2.84320495,3.62452461,3.74001491,3.79897458,3.79897458
2025/09/25,00:00:39,559.950000,55995,22398,19484,838,30,1,0,0.05124195,0.60465212,2.83337763,3.60044544,3.70930098,3.76717797,3.76717797
