Date,Time,Temperature,Humidity
2025-11-07,15:42:37,30.5,69.6
2025-11-07,15:42:37,30.5,69.6
2025-11-07,15:42:37,30.5,69.7
2025-11-07,15:42:37,30.5,69.7
2025-11-07,15:42:37,30.5,69.8
2025-11-07,15:42:37,30.5,69.8
2025-11-07,15:42:37,30.5,69.8
2025-11-07,15:42:38,30.5,69.8
2025-11-07,15:42:39,30.5,69.8
2025-11-07,15:42:40,30.5,69.8
2025-11-07,15:42:41,30.5,69.7
2025-11-07,15:42:42,30.5,69.7
2025-11-07,15:42:43,30.5,69.6
2025-11-07,15:42:44,30.5,69.6
2025-11-07,15:42:45,30.5,69.7
2025-11-07,15:42:46,30.5,69.7
2025-11-07,15:42:47,30.5,69.7
2025-11-07,15:42:48,30.5,69.7
2025-11-07,15:42:49,30.5,69.7
2025-11-07,15:42:50,30.5,69.7
2025-11-07,15:42:51,30.5,69.8
2025-11-07,15:42:52,30.5,69.8
2025-11-07,15:42:53,30.5,69.8
2025-11-07,15:42:54,30.5,69.8
2025-11-07,15:42:55,30.5,69.8
2025-11-07,15:42:56,30.5,69.8
2025-11-07,15:42:57,30.5,69.9
2025-11-07,15:42:58,30.5,69.9
2025-11-07,15:42:59,30.5,69.6
2025-11-07,15:43:00,30.5,69.6
2025-11-07,15:43:01,30.5,69.6
2025-11-07,15:43:02,30.5,69.6
2025-11-07,15:43:03,30.5,69.7
2025-11-07,15:43:04,30.5,69.7
2025-11-07,15:43:05,30.5,69.7
2025-11-07,15:43:06,30.5,69.7
2025-11-07,15:43:07,30.5,69.7
2025-11-07,15:43:08,30.5,69.7
2025-11-07,15:43:09,30.5,69.7
2025-11-07,15:43:10,30.5,69.7
2025-11-07,15:43:11,30.5,69.8
2025-11-07,15:43:12,30.5,69.8
2025-11-07,15:43:13,30.5,69.7
2025-11-07,15:43:14,30.5,69.7
2025-11-07,15:43:15,30.5,69.7
2025-11-07,15:43:16,30.5,69.7
2025-11-07,15:43:17,30.5,69.7
2025-11-07,15:43:18,30.5,69.7
2025-11-07,15:43:19,30.5,69.7
2025-11-07,15:43:20,30.5,69.7
2025-11-07,15:43:21,30.5,69.7
2025-11-07,15:43:22,30.5,69.7
2025-11-07,15:43:23,30.5,69.8
2025-11-07,15:43:24,30.5,69.8
2025-11-07,15:43:25,30.5,69.9
2025-11-07,15:43:26,30.5,69.9
2025-11-07,15:43:27,30.5,69.8
2025-11-07,15:43:28,30.5,69.8
2025-11-07,15:43:29,30.5,69.7
2025-11-07,15:43:30,30.5,69.7
2025-11-07,15:43:31,30.5,69.7
2025-11-07,15:43:32,30.5,69.7
2025-11-07,15:43:33,30.5,69.8
2025-11-07,15:43:34,30.5,69.8
2025-11-07,15:43:35,30.5,69.8
2025-11-07,15:43:36,30.5,69.8
2025-11-07,15:43:37,30.5,69.8
2025-11-07,15:43:38,30.5,69.8
2025-11-07,15:43:39,30.5,69.8
2025-11-07,15:43:40,30.5,69.8
2025-11-07,15:43:41,30.5,69.8
2025-11-07,15:43:42,30.5,69.8
2025-11-07,15:43:43,30.5,69.7
2025-11-07,15:43:44,30.5,69.7
2025-11-07,15:43:45,30.5,69.7
2025-11-07,15:43:46,30.5,69.7
2025-11-07,15:43:47,30.5,69.8
2025-11-07,15:43:48,30.5,69.8
2025-11-07,15:43:49,30.5,69.8
2025-11-07,15:43:50,30.5,69.8
2025-11-07,15:43:51,30.5,69.7
2025-11-07,15:43:52,30.5,69.7
2025-11-07,15:43:53,30.5,69.7
2025-11-07,15:43:54,30.5,69.7
2025-11-07,15:43:55,30.5,69.8
2025-11-07,15:43:56,30.5,69.8
2025-11-07,15:43:58,30.5,69.7
2025-11-07,15:43:59,30.5,69.7
2025-11-07,15:44:00,30.5,69.7
2025-11-07,15:44:01,30.5,69.7
2025-11-07,15:44:02,30.5,69.7
2025-11-07,15:44:03,30.5,69.7
2025-11-07,15:44:04,30.5,69.7
2025-11-07,15:44:05,30.5,69.7
2025-11-07,15:44:06,30.5,69.8
2025-11-07,15:44:07,30.5,69.8
2025-11-07,15:44:08,30.5,69.7
2025-11-07,15:44:09,30.5,69.7
2025-11-07,15:44:10,30.5,69.8
2025-11-07,15:44:11,30.5,69.8
2025-11-07,15:44:12,30.5,69.7
2025-11-07,15:44:13,30.5,69.7
2025-11-07,15:44:14,30.5,69.7
2025-11-07,15:44:15,30.5,69.7
2025-11-07,15:44:16,30.5,69.7
2025-11-07,15:44:17,30.5,69.7
2025-11-07,15:44:18,30.5,69.7
2025-11-07,15:44:19,30.5,69.7
2025-11-07,15:44:20,30.5,69.7
2025-11-07,15:44:21,30.5,69.7
2025-11-07,15:44:22,30.5,69.7
2025-11-07,15:44:23,30.5,69.7
2025-11-07,15:44:24,30.5,69.7
2025-11-07,15:44:25,30.5,69.7
2025-11-07,15:44:26,30.5,69.7
2025-11-07,15:44:27,30.5,69.7
2025-11-07,15:44:28,30.5,69.7
2025-11-07,15:44:29,30.5,69.7
2025-11-07,15:44:30,30.5,69.6
2025-11-07,15:44:31,30.5,69.6
2025-11-07,15:44:32,30.5,69.7
2025-11-07,15:44:33,30.5,69.7
2025-11-07,15:44:34,30.5,69.7
2025-11-07,15:44:35,30.5,69.7
2025-11-07,15:44:36,30.5,69.7
2025-11-07,15:44:37,30.5,69.7
2025-11-07,15:44:38,30.5,69.6
2025-11-07,15:44:39,30.5,69.6
2025-11-07,15:44:40,30.5,69.6
2025-11-07,15:44:41,30.5,69.6
2025-11-07,15:44:42,30.5,69.6
2025-11-07,15:44:45,30.5,69.7
2025-11-07,15:44:45,30.5,69.7
2025-11-07,15:44:46,30.5,69.7
2025-11-07,15:44:47,30.5,69.7
2025-11-07,15:44:48,30.5,69.6
2025-11-07,15:44:49,30.5,69.6
2025-11-07,15:44:50,30.5,69.6
2025-11-07,15:44:51,30.5,69.6
2025-11-07,15:44:52,30.5,69.7
2025-11-07,15:44:53,30.5,69.7
2025-11-07,15:44:54,30.5,69.6
2025-11-07,15:44:55,30.5,69.6
2025-11-07,15:44:56,30.5,69.7
2025-11-07,15:44:57,30.5,69.7
2025-11-07,15:44:58,30.5,69.7
2025-11-07,15:44:59,30.5,69.7
2025-11-07,15:45:00,30.5,69.7
2025-11-07,15:45:01,30.5,69.7
2025-11-07,15:45:02,30.5,69.6
2025-11-07,15:45:03,30.5,69.6
2025-11-07,15:45:04,30.5,69.7
2025-11-07,15:45:05,30.5,69.7
2025-11-07,15:45:06,30.5,69.6
2025-11-07,15:45:07,30.5,69.6
2025-11-07,15:45:08,30.5,69.6
2025-11-07,15:45:09,30.5,69.6
2025-11-07,15:45:10,30.5,69.6
2025-11-07,15:45:11,30.5,69.6
2025-11-07,15:45:12,30.5,69.6
2025-11-07,15:45:13,30.5,69.6
2025-11-07,15:45:14,30.5,69.5
2025-11-07,15:45:15,30.5,69.5
2025-11-07,15:45:16,30.5,69.6
2025-11-07,15:45:17,30.5,69.6
2025-11-07,15:45:18,30.5,69.6
2025-11-07,15:45:19,30.5,69.6
2025-11-07,15:45:20,30.5,69.7
2025-11-07,15:45:21,30.5,69.7
2025-11-07,15:45:22,30.5,69.6
2025-11-07,15:45:23,30.5,69.6
2025-11-07,15:45:24,30.5,69.6
2025-11-07,15:45:25,30.5,69.6
2025-11-07,15:45:26,30.5,69.7
2025-11-07,15:45:27,30.5,69.7
2025-11-07,15:45:28,30.5,69.5
2025-11-07,15:45:29,30.5,69.5
2025-11-07,15:45:30,30.5,69.6
2025-11-07,15:45:31,30.5,69.6
2025-11-07,15:45:32,30.5,69.6
2025-11-07,15:45:33,30.5,69.6
2025-11-07,15:45:34,30.5,69.7
2025-11-07,15:45:35,30.5,69.7
2025-11-07,15:45:36,30.5,69.6
2025-11-07,15:45:37,30.5,69.6
2025-11-07,15:45:38,30.5,69.6
2025-11-07,15:45:39,30.5,69.6
2025-11-07,15:45:40,30.5,69.6
2025-11-07,15:45:41,30.5,69.6
2025-11-07,15:45:42,30.5,69.6
2025-11-07,15:45:43,30.5,69.6
2025-11-07,15:45:44,30.5,69.6
2025-11-07,15:45:45,30.5,69.6
2025-11-07,15:45:46,30.5,69.6
2025-11-07,15:45:47,30.5,69.6
2025-11-07,15:45:48,30.5,69.7
2025-11-07,15:45:49,30.5,69.7
2025-11-07,15:45:50,30.5,69.6
2025-11-07,15:45:51,30.5,69.6
2025-11-07,15:45:52,30.5,69.6
2025-11-07,15:45:53,30.5,69.6
2025-11-07,15:45:56,30.5,69.5
2025-11-07,15:45:56,30.5,69.6
2025-11-07,15:45:57,30.5,69.6
2025-11-07,15:45:58,30.5,69.5
2025-11-07,15:45:59,30.5,69.5
2025-11-07,15:46:00,30.5,69.5
2025-11-07,15:46:01,30.5,69.5
2025-11-07,15:46:02,30.5,69.6
2025-11-07,15:46:03,30.5,69.6
2025-11-07,15:46:04,30.5,69.5
2025-11-07,15:46:05,30.5,69.5
2025-11-07,15:46:06,30.5,69.6
2025-11-07,15:46:07,30.5,69.6
2025-11-07,15:46:08,30.5,69.6
2025-11-07,15:46:09,30.5,69.6
2025-11-07,15:46:10,30.5,69.7
2025-11-07,15:46:11,30.5,69.7
2025-11-07,15:46:12,30.5,69.6
2025-11-07,15:46:13,30.5,69.6
2025-11-07,15:46:14,30.5,69.5
2025-11-07,15:46:15,30.5,69.5
2025-11-07,15:46:16,30.5,69.5
2025-11-07,15:46:17,30.5,69.5
2025-11-07,15:46:18,30.5,69.6
2025-11-07,15:46:19,30.5,69.6
2025-11-07,15:46:20,30.5,69.6
2025-11-07,15:46:21,30.5,69.6
2025-11-07,15:46:22,30.5,69.6
2025-11-07,15:46:23,30.5,69.6
2025-11-07,15:46:24,30.5,69.6
2025-11-07,15:46:25,30.5,69.6
2025-11-07,15:46:26,30.5,69.6
2025-11-07,15:46:27,30.5,69.6
2025-11-07,15:46:28,30.5,69.6
2025-11-07,15:46:29,30.5,69.6
2025-11-07,15:46:30,30.5,69.6
2025-11-07,15:46:31,30.5,69.6
2025-11-07,15:46:32,30.5,69.5
2025-11-07,15:46:33,30.5,69.5
2025-11-07,15:46:34,30.5,69.5
2025-11-07,15:46:35,30.5,69.5
2025-11-07,15:46:36,30.5,69.6
2025-11-07,15:46:37,30.5,69.6
2025-11-07,15:46:38,30.6,69.5
2025-11-07,15:46:39,30.6,69.5
2025-11-07,15:46:40,30.5,69.6
2025-11-07,15:46:41,30.5,69.6
2025-11-07,15:46:42,30.5,69.5
2025-11-07,15:46:43,30.5,69.5
2025-11-07,15:46:44,30.5,69.6
2025-11-07,15:46:45,30.5,69.6
2025-11-07,15:46:46,30.5,69.5
2025-11-07,15:46:47,30.5,69.5
2025-11-07,15:46:48,30.5,69.5
2025-11-07,15:46:49,30.5,69.5
2025-11-07,15:46:50,30.5,69.6
2025-11-07,15:46:51,30.5,69.6
2025-11-07,15:46:52,30.6,69.5
2025-11-07,15:46:53,30.6,69.5
2025-11-07,15:46:54,30.5,69.5
2025-11-07,15:46:55,30.5,69.5
2025-11-07,15:46:56,30.6,69.5
2025-11-07,15:46:57,30.6,69.5
2025-11-07,15:46:58,30.5,69.5
2025-11-07,15:46:59,30.5,69.5
2025-11-07,15:47:00,30.5,69.4
2025-11-07,15:47:01,30.5,69.4
2025-11-07,15:47:02,30.5,69.5
2025-11-07,15:47:03,30.5,69.5
2025-11-07,15:47:04,30.5,69.6
2025-11-07,15:47:05,30.5,69.6
2025-11-07,15:47:06,30.5,69.5
2025-11-07,15:47:07,30.5,69.5
2025-11-07,15:47:10,30.5,69.5
2025-11-07,15:47:10,30.5,69.5
2025-11-07,15:47:11,30.5,69.5
2025-11-07,15:47:12,30.5,69.6
2025-11-07,15:47:13,30.5,69.6
2025-11-07,15:47:14,30.5,69.5
2025-11-07,15:47:15,30.5,69.5
2025-11-07,15:47:16,30.5,69.4
2025-11-07,15:47:17,30.5,69.4
2025-11-07,15:47:18,30.6,69.6
2025-11-07,15:47:19,30.6,69.6
2025-11-07,15:47:20,30.5,69.6
2025-11-07,15:47:21,30.5,69.6
2025-11-07,15:47:22,30.5,69.4
2025-11-07,15:47:23,30.5,69.4
2025-11-07,15:47:24,30.5,69.5
2025-11-07,15:47:25,30.5,69.5
2025-11-07,15:47:26,30.5,69.4
2025-11-07,15:47:27,30.5,69.4
2025-11-07,15:47:28,30.5,69.5
2025-11-07,15:47:29,30.5,69.5
2025-11-07,15:47:30,30.6,69.4
2025-11-07,15:47:31,30.6,69.4
2025-11-07,15:47:32,30.5,69.3
2025-11-07,15:47:33,30.5,69.3
2025-11-07,15:47:34,30.6,69.4
2025-11-07,15:47:35,30.6,69.4
2025-11-07,15:47:36,30.6,69.4
2025-11-07,15:47:37,30.6,69.4
2025-11-07,15:47:38,30.6,69.4
2025-11-07,15:47:39,30.6,69.4
2025-11-07,15:47:40,30.6,69.5
2025-11-07,15:47:41,30.6,69.5
2025-11-07,15:47:42,30.6,69.5
2025-11-07,15:47:43,30.6,69.5
2025-11-07,15:47:44,30.6,69.4
2025-11-07,15:47:45,30.6,69.4
2025-11-07,15:47:46,30.6,69.5
